Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2021-04-20,56678.9371031819,56365.4497664816,57105.9747534665,53442.8516601945
BTC,2021-04-21,54940.7163942469,57087.7195028811,57121.9439016309,54367.6517867463
BTC,2021-04-22,51756.50733734,54799.3492663759,55471.076371955,50500.7318617182
BTC,2021-04-23,50798.6111254224,51675.8236421297,52217.1926008324,47467.9120320183
BTC,2021-04-24,51112.0648751733,50417.5628369547,51253.4429476246,48932.1588139391
BTC,2021-04-25,47272.5169792069,50982.8491637498,51060.2481424866,47105.5930680066
BTC,2021-04-26,53412.7369296484,47697.0876753966,54398.5927883666,47617.2543462795
BTC,2021-04-27,55219.4577671283,53429.8250707155,55351.2748799926,52959.0667211486
BTC,2021-04-28,54709.572955469,55353.5238084316,56458.6358118116,53915.3548335028
BTC,2021-04-29,52861.4583020707,54879.7706311962,55224.9079561952,52403.7436077167
